version,book,chapter,verse,issue_type,verse_text,confidence
telugu_ov,Genesis,32,8,merged_word,తప్పించుకొనిపోవుననుకొని,medium
telugu_ov,Exodus,3,7,merged_word,కష్టపెట్టువారినిబట్టి,medium
telugu_ov,Exodus,3,23,structural:missing_verse,,high
telugu_ov,Exodus,3,24,structural:missing_verse,,high
telugu_ov,Exodus,3,25,structural:missing_verse,,high
telugu_ov,Exodus,3,26,structural:missing_verse,,high
telugu_ov,Exodus,3,27,structural:missing_verse,,high
telugu_ov,Exodus,4,14,merged_word,ఎదుర్కొనవచ్చుచున్నాడు,medium
telugu_ov,Exodus,5,1,merged_word,ఆజ్ఞాపించుచున్నాడనిరి,medium
telugu_ov,Exodus,5,24,structural:missing_verse,,high
telugu_ov,Exodus,5,25,structural:missing_verse,,high
telugu_ov,Exodus,5,26,structural:missing_verse,,high
telugu_ov,Exodus,5,27,structural:missing_verse,,high
telugu_ov,Exodus,5,28,structural:missing_verse,,high
telugu_ov,Exodus,5,29,structural:missing_verse,,high
telugu_ov,Exodus,5,30,structural:missing_verse,,high
telugu_ov,Exodus,6,9,merged_word,మనోవ్యాకులమునుబట్టియు,medium
telugu_ov,Exodus,7,26,structural:missing_verse,,high
telugu_ov,Exodus,7,27,structural:missing_verse,,high
telugu_ov,Exodus,7,28,structural:missing_verse,,high
telugu_ov,Exodus,7,29,structural:missing_verse,,high
telugu_ov,Exodus,7,30,structural:missing_verse,,high
telugu_ov,Exodus,7,31,structural:missing_verse,,high
telugu_ov,Exodus,7,32,structural:missing_verse,,high
telugu_ov,Exodus,7,33,structural:missing_verse,,high
telugu_ov,Exodus,7,34,structural:missing_verse,,high
telugu_ov,Exodus,17,17,structural:missing_verse,,high
telugu_ov,Exodus,17,18,structural:missing_verse,,high
telugu_ov,Exodus,17,19,structural:missing_verse,,high
telugu_ov,Exodus,17,20,structural:missing_verse,,high
telugu_ov,Exodus,17,21,structural:missing_verse,,high
telugu_ov,Exodus,17,22,structural:missing_verse,,high
telugu_ov,Exodus,17,23,structural:missing_verse,,high
telugu_ov,Exodus,17,24,structural:missing_verse,,high
telugu_ov,Exodus,17,25,structural:missing_verse,,high
telugu_ov,Exodus,17,26,structural:missing_verse,,high
telugu_ov,Exodus,17,27,structural:missing_verse,,high
telugu_ov,Exodus,19,26,structural:missing_verse,,high
telugu_ov,Exodus,19,27,structural:missing_verse,,high
telugu_ov,Exodus,19,28,structural:missing_verse,,high
telugu_ov,Exodus,19,29,structural:missing_verse,,high
telugu_ov,Exodus,19,30,structural:missing_verse,,high
telugu_ov,Exodus,19,31,structural:missing_verse,,high
telugu_ov,Exodus,19,32,structural:missing_verse,,high
telugu_ov,Exodus,19,33,structural:missing_verse,,high
telugu_ov,Exodus,19,34,structural:missing_verse,,high
telugu_ov,Exodus,19,35,structural:missing_verse,,high
telugu_ov,Exodus,19,36,structural:missing_verse,,high
telugu_ov,Exodus,19,37,structural:missing_verse,,high
telugu_ov,Exodus,19,38,structural:missing_verse,,high
telugu_ov,Exodus,20,12,merged_word,దీర్ఘాయుష్మంతుడవగునట్లు,medium
telugu_ov,Exodus,31,6,merged_word,నీకాజ్ఞాపించినవన్నియు,medium
telugu_ov,Exodus,31,12,merged_word,ఇశ్రాయేలీయులతోనిజముగా,medium
telugu_ov,Exodus,32,13,merged_word,వారితోఆకాశనక్షత్రములవలె,medium
telugu_ov,Exodus,32,32,merged_word,బ్రతిమాలుకొనుచున్నాననెను,medium
telugu_ov,Exodus,38,22,merged_word,ఆజ్ఞాపించినదంతయుచేసెను,medium
telugu_ov,Leviticus,3,17,merged_word,నివాసస్థలములన్నిటిలోను,medium
telugu_ov,Leviticus,4,8,merged_word,పాపపరిహారార్థబలిరూపమైన,medium
telugu_ov,Leviticus,5,8,merged_word,పాపపరిహారార్థమైనదానిని,medium
telugu_ov,Leviticus,6,17,merged_word,పాపపరిహారార్థబలివలెను,medium
telugu_ov,Leviticus,6,17,merged_word,అపరాధపరిహారార్థబలివలెను,medium
telugu_ov,Leviticus,7,2,merged_word,రాధపరిహారార్థబలిరూపమైన,medium
telugu_ov,Leviticus,7,32,merged_word,సమాధానబలిపశువులలోనుండి,medium
telugu_ov,Leviticus,8,14,merged_word,పాపపరిహారార్థబలిరూపమైన,medium
telugu_ov,Leviticus,10,17,merged_word,పాపపరిహారార్థబలిపశువును,medium
telugu_ov,Leviticus,14,14,merged_word,అపరాధపరిహారార్థమైనదాని,medium
telugu_ov,Leviticus,14,25,merged_word,అపరాధపరిహారార్థబలియగు,medium
telugu_ov,Leviticus,14,30,merged_word,పావురపుపిల్లలలోనేగాని,medium
telugu_ov,Leviticus,17,17,structural:missing_verse,,high
telugu_ov,Leviticus,17,18,structural:missing_verse,,high
