Book,Chapter,Verse,Original XML Text,SQLite Text,Reason for Change,Evidence from Official Source
Genesis,1,3,"అప్పుడు దేవుడు, “వెలుగు కలుగును గాక!”  అన్నాడు. వెలుగు ప్రకాశించటం మొదలయింది.","అప్పుడు దేవుడు, “వెలుగు కలుగును గాక!” అన్నాడు. వెలుగు ప్రకాశించటం మొదలయింది.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,1,16,కనుక ఆ రెండు  పెద్ద జ్యోతులను దేవుడు చేసాడు. పగటి వేళను ఏలుటకు దేవుడు పెద్ద జ్యోతిని చేసాడు. రాత్రి వేళను ఏలుటకు ఆయన చిన్న జ్యోతిని చేసాడు. దేవుడు నక్షత్రాలను కూడా చేసాడు.,కనుక ఆ రెండు పెద్ద జ్యోతులను దేవుడు చేసాడు. పగటి వేళను ఏలుటకు దేవుడు పెద్ద జ్యోతిని చేసాడు. రాత్రి వేళను ఏలుటకు ఆయన చిన్న జ్యోతిని చేసాడు. దేవుడు నక్షత్రాలను కూడా చేసాడు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,1,20,"అప్పుడు, “నీళ్లు అనేక ప్రాణులతో నిండి పోవును గాక.  మరియు భూమికి పైగా గాలిలో ఎగురుటకు పక్షులు ఉండును గాక!” అన్నాడు దేవుడు.","అప్పుడు, “నీళ్లు అనేక ప్రాణులతో నిండి పోవును గాక. మరియు భూమికి పైగా గాలిలో ఎగురుటకు పక్షులు ఉండును గాక!” అన్నాడు దేవుడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,4,3,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,4,4,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,6,2,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,6,3,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,6,4,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,6,11,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,6,12,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,8,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,9,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,11,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,12,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,13,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,21,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,7,22,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,8,3,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,8,4,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,9,9,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
